epoch_for_cdf_mod,proton_density,numden_p_uncer,proton_bulk_speed,bulk_p_uncer,proton_xvelocity,proton_yvelocity,proton_zvelocity,proton_thermal,thermal_p_uncer,alpha_density,numden_a_uncer,alpha_bulk_speed,bulk_a_uncer,alpha_thermal,thermal_a_uncer,spacecraft_xpos,spacecraft_ypos,spacecraft_zpos
2025-06-25 16:58:55.925,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1.7562995875604628,3.052917456005943,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1276049.0053197816,69383.4137226295,-105561.6661322295
2025-06-25 16:59:00.925,8.859466663541417,-1e+31,412.36338138975367,-1e+31,-412.36338138975367,7.819576192412647,0.5161471931917916,52.51488110634877,-1e+31,0.18291273883238682,-1e+31,406.86432337126496,-1e+31,29.70491425857487,-1e+31,1276049.019075517,69384.92489353465,-105561.63516346924
2025-06-25 16:59:05.925,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-0.5107410437423177,3.0971415543702747,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1276049.0328306155,69386.43606401705,-105561.60419413575
2025-06-25 16:59:10.925,8.75812587774601,-1e+31,416.33667194598786,-1e+31,-416.33667194598786,6.853608132738714,4.224913630196227,51.969358493713436,-1e+31,0.17733405820749348,-1e+31,410.26707107267043,-1e+31,29.135333493468394,-1e+31,1276049.0465855198,69387.94726432313,-105561.57322365372
2025-06-25 16:59:15.925,8.330551304053849,-1e+31,420.6494252112273,-1e+31,-420.6494252112273,2.5380235718778827,6.678319302304082,51.447941171433534,-1e+31,0.179122535602562,-1e+31,410.5251629805352,-1e+31,28.871142175257983,-1e+31,1276049.060339293,69389.45840375136,-105561.54225383484
2025-06-25 16:59:20.925,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,3.034081097475056,-1.0507753604920183,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1276049.0740930652,69390.9696032207,-105561.51128225867
2025-06-25 16:59:25.925,8.134531980066365,-1e+31,414.1247788861842,-1e+31,-414.1247788861842,2.624882497306473,0.6601245187099423,50.21393560544341,-1e+31,0.17915815921626896,-1e+31,407.53920868982965,-1e+31,29.120373951604,-1e+31,1276049.08784663,69392.48083250353,-105561.48030948802
2025-06-25 16:59:30.925,8.361457406484472,-1e+31,412.15069641558733,-1e+31,-412.15069641558733,4.556309167856714,1.6045750484087407,50.491099348583305,-1e+31,0.17321811918399052,-1e+31,406.7939525862769,-1e+31,28.723622224689386,-1e+31,1276049.101599025,69393.99200091674,-105561.44933739596
2025-06-25 16:59:35.925,8.38327641620037,-1e+31,411.3615132197629,-1e+31,-411.3615132197629,-1.383792502253403,-4.436581227467094,51.02919747348008,-1e+31,0.17989985019956378,-1e+31,405.79289859525653,-1e+31,31.333536399485006,-1e+31,1276049.1153509207,69395.50316890875,-105561.4183647901
2025-06-25 16:59:40.925,8.371435226984598,-1e+31,410.6726328374951,-1e+31,-410.6726328374951,2.637456021285047,-3.3037839911220956,49.337037812323764,-1e+31,0.18745380381224955,-1e+31,405.9203159283213,-1e+31,29.785382804135153,-1e+31,1276049.129102215,69397.01433649607,-105561.38739160914
2025-06-25 16:59:45.925,8.378077750562529,-1e+31,413.03839186343026,-1e+31,-413.03839186343026,8.337966042450965,-3.441684779909039,48.98198904400049,-1e+31,0.18127928253281672,-1e+31,406.1416988788385,-1e+31,29.325593580990976,-1e+31,1276049.1428533136,69398.52553388863,-105561.35641727969
2025-06-25 16:59:50.925,8.349393813153974,-1e+31,411.848254471526,-1e+31,-411.848254471526,6.694332304003709,-7.795444452454191,49.92039141724606,-1e+31,0.17622442968372798,-1e+31,406.4837971874952,-1e+31,31.658342186766333,-1e+31,1276049.1566033114,69400.03667040865,-105561.32544361817
2025-06-25 16:59:55.925,8.264143679370548,-1e+31,412.6887227962561,-1e+31,-412.6887227962561,0.4904120538244712,-2.1630919251457286,49.54470282614934,-1e+31,0.1828396399483756,-1e+31,406.7197984965761,-1e+31,29.34457472422276,-1e+31,1276049.1703533235,69401.54786696877,-105561.29446816567
2025-06-25 17:00:00.925,8.257175115661594,-1e+31,411.86965756251857,-1e+31,-411.86965756251857,-1.3649602727110128,1.3306280545312958,50.40869005340166,-1e+31,0.17445505001563077,-1e+31,406.0227792423997,-1e+31,29.476080582178025,-1e+31,1276049.1841030596,69403.05909330746,-105561.26349158824
2025-06-25 17:00:05.925,8.257886492669915,-1e+31,411.1210792831553,-1e+31,-411.1210792831553,4.823012794269715,0.42217472101692266,49.88987778918562,-1e+31,0.17427479818138703,-1e+31,405.8443628131638,-1e+31,29.215477367950403,-1e+31,1276049.1978513966,69404.57022862455,-105561.23251625436
2025-06-25 17:00:10.925,8.441394714458324,-1e+31,409.74737725196275,-1e+31,-409.74737725196275,5.3542062925405105,0.2399463853690733,49.41472319164574,-1e+31,0.1794607967515127,-1e+31,405.2612832037611,-1e+31,30.368639149070212,-1e+31,1276049.2115998277,69406.08142389658,-105561.20153921744
2025-06-25 17:00:15.925,8.367160940652031,-1e+31,412.31638337959225,-1e+31,-412.31638337959225,4.107029846992681,1.718428262086249,49.4600812639985,-1e+31,0.1779264902505113,-1e+31,406.4485451073945,-1e+31,28.58224604551317,-1e+31,1276049.2253473792,69407.59258856805,-105561.17056219216
